campus_id,campus_name,company_clean,record_level,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue_avg,facility_sqft_sum,whitespace_sqft_sum,building_count,facility_status_agg,cancelled,first_live_date,full_buildout_date,additional_references,notes,ingest_date,sample_longitude,sample_latitude
meta|talaveradelareina|metatalaveradelareina,Meta Talavera de la Reina,Meta,Campus,C. Torres Quevedo,45614,Talavera de la Reina,"Toledo, ES",,,,Spain,,39.95209098,-4.94662674,152.0,0.0,0.0,152.0,152.0,,,,,,,,,,,,715000.0,,2,Announced,0,,,,,2025-11-14 14:16:08,-4.946626739999942,39.95209098000004
meta|temple|meta-temple,Meta Temple,Meta,Campus,NW H K Dodgen Loop & Industrial Blvd,76502,Temple,Waco,Texas,,,USA,,31.13588,-97.373689,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,-97.37368899999996,31.135880000000043
meta|temple|metatemple,Meta Temple,Meta,Campus,3101 Industrial Boulevard,76501,Temple,Temple,TEXAS,,,United States,,31.13117024,-97.36928563,0.0,0.0,152.0,152.0,0.0,,,,,,,,,,,,665000.0,,2,Active,0,2025-12-31 00:00:00,,,,2025-11-14 14:16:08,-97.36928562999998,31.131170240000074
meta|trenton|metatrenton,Meta Trenton,Meta,Campus,Giant Tire Parkway,29847,Trenton,Augusta,SOUTH CAROLINA,,,United States,,33.64359353,-81.84128696,0.0,152.0,0.0,152.0,152.0,,,,,,,,,,,,4515000.0,,2,Under Construction,0,,,,,2025-11-14 14:16:08,-81.84128695999993,33.64359353000003
oracle|austin|oracleaustin,Oracle Austin,Oracle,Campus,11400 North Lamar Boulevard,78753,Austin,Austin,TEXAS,,,United States,,30.383648,-97.686263,0.0,0.0,8.2,8.2,0.0,,,,,,,,,,,,130804.0,,1,Active,0,2001-12-31 00:00:00,,,,2025-11-14 14:16:08,-97.68626299999994,30.38364800000005
oracle|hillsboro|oracle-3295-ne-83rd-ave,Oracle - 3295 NE 83rd Ave,Oracle,Campus,3295 NE 83rd Ave,97124,Hillsboro,Hillsboro,Oregon,,,USA,,45.543773,-122.89447,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-122.89446999999996,45.543773000000044
oracle|hillsboro|oracle-3380-ne-79th-ave,Oracle - 3380 NE 79th Ave,Oracle,Campus,3380 NE 79th Ave,97124,Hillsboro,Hillsboro,Oregon,,,USA,,45.543953,-122.89662,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-122.89661999999998,45.543953000000045
oracle|hillsboro|oraclehillsboro,Oracle Hillsboro,Oracle,Campus,3380 NE 79th Avenue,97124,Hillsboro,Portland,OREGON,,,United States,,45.54393375,-122.8965887,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,91000.0,,1,Active,0,2002-12-31 00:00:00,,,,2025-11-14 14:16:08,-122.8965887,45.543933750000065
oracle|saltlakecity|oraclesaltlakecity,Oracle Salt Lake City,Oracle,Campus,1499 S 4800 W,85104,Salt Lake City,Salt Lake City,UTAH,,,United States,,40.7372,-112.0051,0.0,0.0,7.8,7.8,0.0,,,,,,,,,,,,61000.0,,1,Active,0,2002-12-31 00:00:00,,,,2025-11-14 14:16:08,-112.00509999999997,40.73720000000003
oracle|santaclara|oraclesantaclara,Oracle Santa Clara,Oracle,Campus,4120 Network Circle,95054,Santa Clara,Northern California,CALIFORNIA,,,United States,,37.39515298,-121.9548494,0.0,0.0,10.4,10.4,0.0,,,,,,,,,,,,272473.0,,3,Active,0,2007-12-31 00:00:00,,,,2025-11-14 14:16:08,-121.95484939999994,37.395152980000034
oracle|telangana|oracletelangana,Oracle Telangana,Oracle,Campus,"Plot 18, 21 Phase 2",500081,Telangana,Hyderabad,,,,India,,17.45049596,78.37392827,0.0,0.0,15.200000000000001,15.200000000000001,0.0,,,,,,,,,,,,25000.0,,1,Active,0,2008-12-31 00:00:00,,,,2025-11-14 14:16:08,78.37392827000008,17.45049596000007
oracle|westjordan|oraclewestjordan,Oracle West Jordan,Oracle,Campus,6136 W 10120 S,84088,West Jordan,Salt Lake City,UTAH,,,United States,,40.568381,-112.036373,0.0,0.0,18.0,18.0,0.0,,,,,,,,,,,,236000.0,,1,Active,0,2010-12-31 00:00:00,,,,2025-11-14 14:16:08,-112.03637299999997,40.568381000000045
